species,family,genus,specific,english,status,authority,ID,RedList,WriteUp,Phytogeography
Ranunculus trichophyllus,RANUNCULACEAE,Ranunculus,trichophyllus,Thread Leaved Water Crowfoot,native,Chaix,Vas_1664,,"
Circumpolar Wide-boreal element.
This is found in small water bodies (BH11) in much of the British Isles but especially in south-eastern England.
Occasional (23). R. trichophyllus is found in ponds, largely in the west of northern Lancashire. Because of identification difficulties it is not clear if all the old records for Ranunculus drouettii F. Schultz should be referred here or if some should be included within R. aquatilis. Nevertheless it is clear that from the relatively small number of records for either R. trichophyllus or R. aquatilis 100 years ago (Wheldon and Wilson, 1907) this was never a common species. Unfortunately identification difficulties continue. Most post 1964 records were based on identifications using the shape of the nectar-pit and absence of laminar leaves as diagnostic features but recent work suggests that the shape of the nectar-pit is unreliable (BSBI Recorders’ Conference, 2006). Thus it is likely that some post 1964 records are also errors for R. aquatilis. Furthermore there are few recent records. It was recorded at Thwaite House Moss, Carnforth (SD46Z) in 1991 (P.J.), Silverdale (SD47S) in 2000 (C.B.W.) and in the Lune Oxbows, Melling (SD57V) in 2009 (E.F.G.). It is difficult to explain the recent decline of this species as although the ‘New Atlas’ shows a decline in Britain it is thought that the concentration of pre 1970 records is due to misidentification for other species. ‘Local Change’ does not report any change in its distribution.

",Circumboreal–Temperate
Thalictrum aquilegiifolium,RANUNCULACEAE,Thalictrum,aquilegiifolium,Greater Meadow Rue,neophyte,L.,Vas_7641,,Text,Eurasian–Temperate
Thalictrum flavum,RANUNCULACEAE,Thalictrum,flavum,Common Meadow Rue,native,L.,Vas_2048,,"
Eurosiberian Boreo-temperate element.
This is found in fens, ditches and marshes (BH11) in England, Wales and Ireland.
Occasional (32). Common Meadow-rue is a characteristic species of fens, usually near the coast and the brackish upper parts of salt marshes where it occurs with other tall vegetation, and it even survives amongst Phragmites reed beds. In northern Lancashire it is reaching the northern limits of its British distribution. According to the ‘New Atlas’ it has declined since 1930 but recent changes are not significant (‘Local Change’) and this appears to be the situation in northern Lancashire. However an inland locality at Newton (SD75V) discovered by Pickard (1901) seems to have gone.

",Eurosiberian–Temperate
Thalictrum minus,RANUNCULACEAE,Thalictrum,minus,Lesser Meadow Rue,neophyte,L.,Vas_2049,,"
Eurasian Boreo-temperate element.
This is found in base-rich heaths, grasslands and sand dunes (BH16, 19) in many parts of the British Isles but in midland and southern England especially many populations are garden escapes.
Occasional (21). Lesser Meadow-rue is a morphologically variable but little understood species and various subspecies have been recognised. Until the taxonomy is better understood all forms are considered part of a variable species. Wheldon and Wilson (1907) found it on Dalton Crags, by the River Wenning and from Lytham where it has not been seen recently. Today it occurs in coastal situations from Silverdale to Lytham, on Dalton Crags and occasionally elsewhere but the increase in the species’ distribution is almost certainly due to the escape of garden plants. Presumed native populations on the sand dunes at Lytham St Anne’s and on Dalton Crags are very small – perhaps fewer than 50 plants. The ‘New Atlas’ reports a similar situation for Britain but ‘Local Change’ reports no significant recent changes.




===== 20 Platanaceae.doc =====
",Eurasian–Temperate
Trollius europaeus,RANUNCULACEAE,Trollius,europaeus,,native,L.,Vas_2106,,"
European Boreal-montane element.
This is an attractive meadow and woodland edge species (BH1, 16) of Wales, northern England, Scotland and northern Ireland.
Rare (11). Globeflower is confined to one site at Silverdale and to a few Bowland valley woodlands and pastures. Although Pickard (1901) thought it was frequent in moist meadows and woods on limestone in the Hodder valley (VC 64) Wheldon and Wilson (1907) considered it rare in VC 60 giving details of the sites where they knew it. When the pre 1964 records are mapped together with the post 1964 data the overall distribution has not changed but clearly Trollius europaeus has become much rarer. This decline is noted in the ‘New Atlas’, particularly on the fringes of its range, and ‘Local Change’ reports further recent decline throughout its range in Britain. In northern Lancashire its decline since 1907 was probably due to agricultural improvement of pastures, but more recently general eutrophication of habitats and increased shading in woodland locations, where some non-flowering populations survive, are probably the causal agents. All populations of this attractive species are small and endangered.

",Boreal–montane (Eurosiberian)
Paeonia mascula,PAEONIACEAE,Paeonia,mascula,Peony,neophyte,(L.) Mill.,Vas_1423,,Text,Mediterranean
Berberis darwinii,BERBERIDACEAE,Berberis,darwinii,Darwin's Barberry,neophyte,Hook.,Vas_2440,,"
Neophyte. A native of Chile and Argentina first cultivated in 1849 and reported from the wild in 1928. Today it occurs in scattered localities throughout much of the British Isles.
Very rare (5). First recorded from Silverdale (Livermore and Livermore, 1987) as a garden escape where it still occurs (SD47R) and near Heald Brow (SD47S) in 2000 (Arnside Naturalists). It was also recorded from Poulton-le-Fylde (SD33P) in 2008 (D.P.L.).

Berberis aggregata C.K. Schneid x B. wilsoniae Hemsl.

Neophyte. A commonly planted garden plant that occasionally escapes into the wild.
Very rare (1). The only record (P.J. & J.C.) is from beside a path at Warton in 2001(SD47W).

",Alien (South American)
Berberis darwinii x empetrifolia = B. x stenophylla,BERBERIDACEAE,Berberis,darwinii x empetrifolia = B. x stenophylla,Hedge Barberry,neophyte,Lindl.,Vas_7189,,Text,Alien hybrid (South American)
Berberis thunbergii,BERBERIDACEAE,Berberis,thunbergii,Thunberg's Barberry,neophyte,DC.,Vas_7187,,Text,Alien (Asian)
Berberis vulgaris,BERBERIDACEAE,Berberis,vulgaris,Barberry,alien,L.,Vas_232,,"
European Temperate element. Its status in the British Isles is doubtful. It was recorded in Neolithic deposits in Norfolk and cultivated in mediaeval times and later planted in hedges.
It is found today in hedges, coppices and waste ground (BH1, 3) in most of Britain but it is rare in Ireland.
Rare (14). Wheldon and Wilson (1907) recorded Barberry in only three places in VC 60. One of these was Silverdale where there is a concentration of records today. It is scattered elsewhere in northern Lancashire, often in hedges and scrub. Whilst there are a few more records than 100 years ago it seems all records owe their origins to introductions.

",Eurasian–Temperate
Berberis wilsoniae,BERBERIDACEAE,Berberis,wilsoniae,Wilson's Barberry,neophyte,Hemsl.,Vas_7188,,Text,Alien (Asian)
Berberis x bidentata,BERBERIDACEAE,Berberis,x bidentata,Dwarf Barberry,neophyte,Lechl.,IPNI_106462-1,,Text,Alien hybrid
Mahonia aquifolium,BERBERIDACEAE,Mahonia,aquifolium,Oregon Grape,neophyte,(Pursh) Nutt.,Vas_1228,,"
Neophyte. A native of western North America introduced into Britain in 1823 and then frequently planted, often for game cover. It was known from the wild in 1874.
Occasional (17). It is scattered throughout northern Lancashire, often in hedges and scrub (BH 1, 3). It is naturalised on the limestone around Morecambe Bay but the first records were from Warton (SD47) and Claughton, near Garstang both by E.F.G in 1967. The ‘New Atlas’ suggests it has increased its range in Britain since 1962 probably through plantings and escape from cultivation.

",Alien (North American)
Laurus nobilis,LAURACEAE,Laurus,nobilis,Bay Laurel,neophyte,L.,Vas_2427,,Text,Mediterranean
Ceratocapnos claviculata,PAPAVERACEAE,Ceratocapnos,claviculata,Climbing Corydalis,native,(L.) Lidén,Vas_555,,"
Oceanic Temperate element.
This is found on well-drained acidic soils in woodland and heaths, often under bracken where it is easily overlooked (BH1, 9, 10) and occurs throughout Britain but in Ireland only in the east.
Occasional (42). Climbing Corydalis is found in suitable habitats throughout northern Lancashire. It is not thought that there has been any change in its distribution locally or nationally.

Fumaria capreolata L. ssp. babingtonii (Pugsley) P.D. Sell   
",Atlantic–Temperate
Chelidonium majus,PAPAVERACEAE,Chelidonium,majus,Greater Celandine,archaeophyte,L.,Vas_480,,"
Archeophyte. Eurasian Temperate element but widely naturalised elsewhere. It has been known in Britain since Roman times and grown for medicinal purposes (Mabey, 1996). It is found in hedge banks and roadsides (BH3) usually near houses in southern and eastern parts of the British Isles.
Frequent (128). In northern Lancashire it is found mostly in the west of the area but extends up the Lune and Ribble valleys. It was not recorded in Lancashire VC 64. The ‘New Atlas’ suggests it has declined at the edges of its 1962 range but ‘Local Change’ reports no further decline.

",Eurasian–Temperate
Chelidonium majus var. Flore Pleno,PAPAVERACEAE,Chelidonium,majus var. Flore Pleno,Greater Celandine,neophyte,,Vas_480,,Text,Eurasian–Temperate
Eschscholzia californica,PAPAVERACEAE,Eschscholzia,californica,Californian Poppy,neophyte,Cham.,Vas_761,,"
Neophyte. This is a native of North America but widely grown in gardens since 1826 from which it escapes. It was first recorded in the wild in 1864.
Very rare (2). It was recorded from St Anne’s as a garden weed in 1967 (A.E.R) and again in a different locality (SD33A) in 2003 (C.F. & C.N.S.).

",Alien (North American)
Fumaria bastardii,PAPAVERACEAE,Fumaria,bastardii,Tall Ramping Fumitory,native,Boreau,Vas_845,,"
Mediterranean-Atlantic element.
It is found scattered as a weed in arable and cultivated land and in disturbed places (BH4) in the west of the British Isles.
Rare (13). In northern Lancashire F. bastardii is also found mostly in the west and north of the area. It was never common and Wheldon and Wilson (1907) only knew it from near Little Eccleston. Its distribution is stable both locally and nationally.

Fumaria muralis Sond. Ex W.D. Koch ssp. boraei  (Jord.) Pugsley
",Mediterranean–Atlantic
Fumaria capreolata,PAPAVERACEAE,Fumaria,capreolata,White Ramping Fumitory,native,L.,Vas_847,,Text,Mediterranean–Atlantic
Fumaria densiflora,PAPAVERACEAE,Fumaria,densiflora,Dense-Flowered Fumitory,archaeophyte,DC.,Vas_849,,Text,Mediterranean
Fumaria muralis,PAPAVERACEAE,Fumaria,muralis,Wall Fumitory,native,Sond. ex W.D.J.Koch,Vas_850,,Text,Mediterranean–Atlantic
Fumaria officinalis,PAPAVERACEAE,Fumaria,officinalis,Common Fumitory,archaeophyte,L.,Vas_854.1,,"
Archeophyte. This has a European Southern-temperate distribution but it is widely naturalised in cultivated and waste ground (BH.3, 17) throughout most of the British Isles.
Frequent (83). F. officinalis occurs mostly in the west of northern Lancashire. Both F. officinalis L. ssp. officinalis and ssp. wirtgenii (W.D. J. Koch) Arcang. occur (Livermore and Livermore, 1987) but there has been no systematic recording of the subspecies. It is believed populations are stable locally and nationally.




===== 19 BERBERIDACEAE.doc =====
",Eurasian–Temperate
